Month,Email/JIRA Date,Jira Key,Event type,Customer,Number of Customers,Event/Bulletin Title,Issue Type,Reason,Root Cause,Sub-type,Improvement VS Bug,Short Term Fix Status,Automation Opportunity,RCA Requested,Comments,Delay,Missed_Flag,Month_Sort,Delay (Hours),Reporting Month,Severity,Standard Automation Focus,RCA Details,Routed To
Mar 2026,04-Mar-2026,,Protest/Riot,Ford,1,"""Transporters Threaten Potential Border Blockades Across Bosnia and Herzegovina""",Complaint,Missed alert / event not captured,Product,Keyword Update,Improvement,Fixed,Dynamic Source Discovery,Yes,Feeds not ingested; vendor source and keywords added after customer escalation.,,Yes,3,,Mar 2026,Medium,Dynamic Source Discovery,,Product & Platform
Mar 2026,04-Mar-2026,,Bankruptcy,Eaton,1,"""DRUTEC Druckguss & Montagetechnik GmbH + Co. KG Files for Insolvency in Germany""",Complaint,Missed insolvency event,Product,Source Coverage,Improvement,Fixed,Dynamic Source Discovery,Yes,DRUTEC bankruptcy feeds not captured; sources not in vendor network. Vendor addition requested.,,Yes,3,,Mar 2026,Medium,Dynamic Source Discovery,,Product & Platform
Mar 2026,10-Mar-2026,,Factory Fire,Ford,1,"""Eason & Co Notifies Of Fire Incident In Area Its Factory"" (customer wording)",Inquiry,Event not triggered / not notified,Product,Mapping,Improvement,Clarification Provided,"Customer-facing ""not mapped"" explanation template + What-If guidance",No,Event not triggered due to company not mapped as Ford supplier; explanation provided.,,Yes,3,,Mar 2026,Medium,Entity & Supplier Resolution,,Product & Platform
Mar 2026,11-Mar-2026,,Bankruptcy,Ford,1,"""French Court Declines Accelerated Safeguard Plan for Saint Jean Industries""",Complaint,Missing Resilinc alert / insolvency not captured,Product,Source Coverage,Improvement,Fixed,Dynamic Source Discovery,Yes,Insolvency feeds not captured; vendor working on adding source.,,Yes,3,,Mar 2026,Medium,Dynamic Source Discovery,,Product & Platform
Mar 2026,16-Mar-2026,,Cyber Attack,UVM Health Network,1,"WarRoom visibility: ""Cyber Attack Disrupts Operations at Stryker Corporation""",Complaint,WarRoom visibility affected by customer profile filters,Process,Visibility,Improvement,Clarification Provided,"Preventive UI prompt: ""Unsaved preference changes"" + default include Resilinc for WarRoom view",No,WarRoom not visible due to user preference filtering out Resilinc; customer advised to update settings.,,No,3,,Mar 2026,Medium,Notification Visibility Monitoring,,EventWatch Ops - Nitin Rindhe
Mar 2026,16-Mar-2026,,Cyber Attack,UVM Health Network,1,"""Data Breach Reported at Intuitive Surgical Following Phishing Attack""",Complaint,Missing EventWatch coverage / feeds not captured,Product,Source Coverage,Improvement,Fixed,Dynamic Source Discovery,Yes,Phishing incident feeds not captured; WarRoom published after investigation.,,Yes,3,,Mar 2026,Medium,Dynamic Source Discovery,,Product & Platform
Mar 2026,18-Mar-2026,,Supply Shortage,Caterpillar,1,"""LPG and LNG Gas Shortage Triggers Nationwide Industrial Disruptions Across India""",Complaint,Delay in creating separate WarRoom / delayed escalation,Product,Review,Improvement,Fixed,Escalation automation,Yes,AI classified LPG shortage as Non-Event; human review missed embedded company-impact articles. Dedicated WarRoom created.,,Yes,3,,Mar 2026,Medium,WarRoom & Decision Validation,,Product & Platform
Mar 2026,18-Mar-2026,CAN-3278,Extreme Weather,Danaher,1,Massachusetts Level 3 Critical Drought – WarRoom Empty and Not Listed After 3 Hours (Danaher),Complaint,Delayed WarRoom,Product,Visibility,Improvement,Fixed,"Monitoring that a WarRoom becomes visible and populated within an agreed window of the notification being sent, with alerting when it does not",Yes,"From Jira CAN-3278 (Closed). Danaher received the notification email for the Massachusetts Level 3 Critical Drought WarRoom, but the WarRoom was empty across Suppliers, Sites, Parts and Products and was absent from the WarRoom listing page more than three hours after creation. CS recorded it as reproducible and as a likely regression of CAN-2921.",,No,3,,Mar 2026,Medium,Notification Visibility Monitoring,,Product & Platform
Mar 2026,23-Mar-2026,,Factory Fire,Ford,1,"""Fire at the Fuyao Glass America Site in Moraine, Ohio, USA""",Complaint,Missed alert / event not captured,Product,Source Coverage,Bug,Fixed,Dynamic Source Discovery,Yes,Open-source articles not ingested; Engineering bug identified in feed harvesting. Patch planned.,,Yes,3,,Mar 2026,Medium,Dynamic Source Discovery,,Product & Platform
Mar 2026,25-Mar-2026,,Regulatory Change,HPE,1,"""Microsoft Azure account raised SEC notification delay (Jan 2025)""",Complaint,SEC notification not captured/provided on time,People,Process Clarification,Improvement,Clarification Provided,Regulatory feed timeliness checks + publication timestamp comparison,Yes,SEC notification delay investigation requested; awaiting closure inputs.,,Yes,3,,Mar 2026,Medium,Dynamic Source Discovery,,EventWatch Ops - Nitin Rindhe
Mar 2026,26-Mar-2026,,Labor Disruption,Ford,1,"""Workers Strike at Freudenberg-NOK Sealing Technologies in Findlay, Ohio, USA""",Complaint,Missing Automotive industry tag (customer tracking missed it),People,Tagging,Improvement,Fixed,Auto-tagging,Yes,Automotive tag missed during publishing; oversight acknowledged. Review process reinforced.,,Yes,3,,Mar 2026,Medium,Automated Industry Tagging,,EventWatch Ops - Nitin Rindhe
Mar 2026,28-Mar-2026,,Extreme Weather,Ford,1,"""Missed Severe Weather Alert – Midwest USA (March 26, 2026)"" (customer wording)",Complaint,Missed severe weather alert,People,Event Identification,Improvement,Clarification Provided,Escalation automation,Yes,Severe weather alert missed; response already provided on 27-Mar-26.,,Yes,3,,Mar 2026,Medium,WarRoom & Decision Validation,,EventWatch Ops - Nitin Rindhe
Mar 2026,30-Mar-2026,TS-22591,Other,PepsiCo,1,Unrecognized Supplier Names Appearing for Customer Users (PepsiCo),Complaint,Wrong Relevancy,Product,Mapping,Improvement,Fixed,Validation that supplier names shown to customer users reconcile to that customer's CDIF,No,"From Jira TS-22591 (Resolved). PepsiCo users saw supplier names that are not present in their CDIF; the CSM verified the names were absent and a second internal user reproduced it, while the reporter did not. Raised as priority.",,No,3,,Mar 2026,Medium,Entity & Supplier Resolution,,Product & Platform
Mar 2026,31-Mar-2026,,Cyber Attack,Ford,1,"""RESILINC - Delayed Alert for Murata Manufacturing Cyber Attack""",Complaint,Delayed alert / WarRoom created late,Product,Source Coverage,Improvement,Fixed,Dynamic Source Discovery,Yes,25-day delay: Initial source blocked + misclassification. RCA shared with retraining plan.,25 days,Yes,3,600,Mar 2026,Medium,Dynamic Source Discovery,,Product & Platform
Apr 2026,01-Apr-2026,,Cyber Attack,Ford,1,Delay in Alert Issuance and WarRoom Creation – Murata Cyber Attack,Complaint,Delayed Event,People,Prioritization,Improvement,Fixed,Source coverage expansion,Yes,25-day delay flagged by customer; blocked source + misclassification. Retraining completed.,25 days,Yes,4,600,Apr 2026,Medium,Dynamic Source Discovery,,EventWatch Ops - Nitin Rindhe
Apr 2026,02-Apr-2026,,Factory Fire,Ford,1,FORD MOTOR– Missing Automotive Tag in Event Watch Alert,Complaint,Incorrect Industry selection,Product,Industry selection,Improvement,Clarification Provided,Auto-tagging,Yes,Missing Automotive tag; long-term enhancement roadmap communicated.,,No,4,,Apr 2026,Medium,Automated Industry Tagging,,Product & Platform
Apr 2026,06-Apr-2026,CAN-3298,Cyber Attack,Harman,1,Murata Manufacturing Cyber Attack – Impact Confirmation Not Sent for 4 Tier 2 Sites (Harman),Complaint,Event not triggered / not notified,Product,Mapping,Improvement,Pending,"Reconciliation between the set of sites meeting impact criteria and the set actually sent an impact-confirmation request, with an alert on any shortfall",Yes,"From Jira CAN-3298 (Open). For Harman on the Murata Manufacturing cyber attack, 45 Murata sites were potentially impacted but impact-confirmation requests went to only 41. The four omitted Tier 2 sites met customer settings and impact-region criteria. Company notification settings were on for everything except 'Site Contacts Shared by Suppliers in our SCV (mapping)'.",,Yes,4,,Apr 2026,Medium,Notification Visibility Monitoring,,Product & Platform
Apr 2026,09-Apr-2026,,Geopolitical,Ford,1,Truckers and Farmers Block Highways Across Mexico in Nationwide Strike,Complaint,Missed Event,People,Event Identification,Improvement,Fixed,Geo-detection enhancement,Yes,"AI correctly classified, but analyst assessed as localized/temporary. NC logged; post-incident review done.",,Yes,4,,Apr 2026,Medium,AI-Assisted Geofencing,,EventWatch Ops - Nitin Rindhe
Apr 2026,09-Apr-2026,,Factory Fire,Ford,1,"Fire at the Linamar Corporation Facility in Fruitport, Michigan, USA",Complaint,Missed Event,People,Event Identification,Improvement,Fixed,Signal extraction for company/facility + location confidence + incident cues,Yes,"AI correctly classified, but human review missed company-facility validation. NC logged.",,Yes,4,,Apr 2026,Medium,Entity & Supplier Resolution,,EventWatch Ops - Nitin Rindhe
Apr 2026,14-Apr-2026,,Bankruptcy,Eaton,1,EATON – Missed event RCA request (Bankruptcy event),Complaint,Missed Event,Product,Event Identification,Improvement,Fixed,Source coverage expansion,Yes,Bankruptcy miss due to vendor source gap; sources added by vendor.,,Yes,4,,Apr 2026,Medium,Dynamic Source Discovery,,Product & Platform
Apr 2026,14-Apr-2026,,Geopolitical,Eaton,1,EATON – Missed event RCA request (Border closing event),Complaint,Missed Event,Product,Event Identification,Improvement,Fixed,Keyword expansion,Yes,Border closing miss due to foreign-language keyword gap; keywords added.,,Yes,4,,Apr 2026,Medium,Multilingual Keyword Expansion,,Product & Platform
Apr 2026,16-Apr-2026,,Regulatory Change,Caterpillar,1,Customer Query: Missing EventWatch Coverage for Hengli Hydraulic Incident,Complaint,Missed Event,Product,Event Identification,Improvement,Fixed,Keyword expansion,Yes,3/4 articles not captured by vendor; 1 Chinese article missed due to keyword gap. Enhancement planned.,,Yes,4,,Apr 2026,Medium,Multilingual Keyword Expansion,,Product & Platform
Apr 2026,22-Apr-2026,,Earthquake,Ford,1,"Missing Alerts - 5.0 Magnitude Earthquake in San Carlos, Mexico - INC5833769",Inquiry,Coverage Verification Request,Process,Process Clarification,Improvement,Clarification Provided,Automated disruption-signal checklist before NI closure for borderline EQs,No,Feeds captured but no confirmed disruptions found; magnitude alone not sufficient per thresholds.,,No,4,,Apr 2026,Medium,Other Control Automation,,EventWatch Ops - Nitin Rindhe
Apr 2026,29-Apr-2026,,Earthquake,Hitachi,1,HITACHI: Missing WarRoom Event for Japan Earthquake,Complaint,Geographic Coverage Clarification,Process,Process Clarification,Improvement,Clarification Provided,Geo-detection enhancement,No,Polygon methodology explained per Thresholds & Guidelines; radius standardized by magnitude/depth.,,No,4,,Apr 2026,Medium,AI-Assisted Geofencing,,EventWatch Ops - Nitin Rindhe
Apr 2026,30-Apr-2026,,Bankruptcy,Ford,1,Missed Event Alert – Deltal Otomotiv Insolvency Filing (Ford Otosan Impact),Complaint,Missed Event,Product,Event Identification,Improvement,Fixed,Keyword expansion,Yes,Turkish keyword miss + source outside vendor network; keyword update + vendor request initiated.,,Yes,4,,Apr 2026,Medium,Multilingual Keyword Expansion,,Product & Platform
Apr 2026,30-Apr-2026,,Bankruptcy,Ford,1,Urgent Review Required – Missed Insolvency Event | AluTec GmbH (FORD Escalation),Complaint,Missed Event,Product,Event Identification,Improvement,Fixed,Source coverage expansion,Yes,Insolvency missed due to unmapped supplier + niche-source limits; bulletin published after escalation. ~28 days delay.,~28 days (Apr 1 proceedings → Apr 29 publish),Yes,4,672,Apr 2026,Medium,Dynamic Source Discovery,,Product & Platform
Apr 2026,30-Apr-2026,,Extreme Weather,Collins Aerospace,1,"Delay in WarRoom Creation – Tornado Event (Mineral Wells, Texas): Ticket#11211",Complaint,Delayed Event,Process,Captured Late,Improvement,Fixed,Escalation automation,Yes,WarRoom created ~18 hours after tornado; investigation acknowledged.,18 hours,Yes,4,18,Apr 2026,Medium,WarRoom & Decision Validation,,EventWatch Ops - Nitin Rindhe
May 2026,01-May-2026,,Extreme Weather,Collins Aerospace,1,"Tornado (Mineral Wells, Texas)",Complaint,Delayed WarRoom,People,Review,Improvement,Fixed,Escalation automation,Yes,"Tornado occurred Apr 28, WarRoom created Apr 29 (~18 hr delay). System detected but team deprioritized",~18 hours,Yes,5,18,May 2026,Medium,WarRoom & Decision Validation,,EventWatch Ops - Nitin Rindhe
May 2026,01-May-2026,,Bankruptcy,Ford,1,"AluTec GmbH Insolvency (Fürth, Germany)",Complaint,Missed Event,Product,Event Identification,Improvement,Fixed,Source coverage expansion,Yes,Critical missed alert flagged; insolvency opened Apr 1. Source onboarding initiated. ~30 days delay.,~30 days (Apr 1 → May 1),Yes,5,720,May 2026,Medium,Dynamic Source Discovery,,Product & Platform
May 2026,01-May-2026,,Regulatory Change,Fedrigoni Group,1,Six paper makers price-fixing fines (South Korea),Complaint,Missed WarRoom,Product,Keyword Update,Improvement,Fixed,Dynamic Source Discovery,Yes,WarRoom not found for paper firms; keyword gap confirmed. WarRoom created Apr 30; keywords updated.,,Yes,5,,May 2026,Medium,Dynamic Source Discovery,,Product & Platform
May 2026,05-May-2026,,Bankruptcy,Ford,1,"Trinseo ""Misses Interest Payments…"" (SIC not triggered)",Complaint,Incorrect Action,Product,Policy/Logic,Improvement,Clarification Provided,SIC trigger logic review for financial risk events,No,Customer asked if SIC can be enabled for financial risk events; policy clarification provided.,,No,5,,May 2026,Medium,Other Control Automation,,Product & Platform
May 2026,07-May-2026,,Regulatory Change,GM,1,"OFAC alert: ""Sanctions Risks of Iranian Demands for Strait of Hormuz Passage""",Complaint,Missed Event,People,Review,Improvement,Fixed,Escalation automation,Yes,Feeds captured but classified as not impactful; NI review missed. Re-evaluated and published,,Yes,5,,May 2026,Medium,WarRoom & Decision Validation,,EventWatch Ops - Nitin Rindhe
May 2026,07-May-2026,,Regulatory Change,Ford,1,Yangzhou Yangjie EU sanctions listing,Complaint,Missed / Delayed Event,Product,Keyword Update,Improvement,Fixed,Dynamic Source Discovery,Yes,Sanctions compliance demanded; keyword gap confirmed. WarRoom created after customer email.,,Yes,5,,May 2026,Medium,Dynamic Source Discovery,,Product & Platform
May 2026,12-May-2026,,Cyber Attack,Eaton,1,Axios npm package compromise (Mar 31),Complaint,Coverage Verification Request,Process,Process Clarification,Improvement,Clarification Provided,Relevancy logic review,Yes,Customer asked RCA for Axios npm compromise; classified not relevant based on mapping + no operational disruption.,,No,5,,May 2026,Medium,Other Control Automation,,EventWatch Ops - Nitin Rindhe
May 2026,12-May-2026,,Cyber Attack,NVIDIA,1,Foxconn cyber incident (outage → ransomware confirmation),Complaint,Missed + Delayed Reporting,People,Review,Improvement,Fixed,Escalation automation,Yes,Outage should have been reported May 6 but missed; cyber reporting delayed ~6 days. Data Science review ongoing.,~6 days (May 6 outage → May 12 report),Yes,5,144,May 2026,High,WarRoom & Decision Validation,,EventWatch Ops - Nitin Rindhe
May 2026,13-May-2026,,Supply Shortage,GM,1,Oakland County Water Main Break,Complaint,Delayed Event,People,Review,Improvement,Fixed,Escalation automation,Yes,Water main break began May 10; WarRoom not until May 12 (~48 hr delay). Escalation judgment lapse; NC raised + coaching.,~48 hours,Yes,5,48,May 2026,High,WarRoom & Decision Validation,,EventWatch Ops - Nitin Rindhe
May 2026,15-May-2026,,Labor Disruption,Ford,1,"Metal sector strike (Pontevedra/Vigo, Galicia)",Complaint,Missed Event,Product,Source Coverage,Improvement,Fixed,Dynamic Source Discovery,Yes,Strike caused total industrial paralysis; sources not monitored. Vendor source request raised.,,Yes,5,,May 2026,Medium,Dynamic Source Discovery,,Product & Platform
May 2026,15-May-2026,,Cyber Attack,Bombardier,1,STELIA North America ransomware attack,Complaint,Missed WarRoom / No notification,Product,Process Clarification,Improvement,Clarification Provided,Mapping validation,Yes,STELIA is listed supplier but no WarRoom/notification created. Investigation and portal checks requested.,,Yes,5,,May 2026,Medium,Entity & Supplier Resolution,,Product & Platform
May 2026,20-May-2026,,Supply Shortage,Eaton,1,"""Eggs/Chicken/FMCG"" alerts vs. cyber/software supply-chain events",Complaint,Wrong Relevancy,Product,Relevancy,Improvement,Clarification Provided,Digital vs physical risk threshold consistency review,Yes,Customer argued physical commodity alerts irrelevant while software supply-chain risk should be prioritized. Relevancy review initiated.,,No,5,,May 2026,Medium,Other Control Automation,,Product & Platform
May 2026,20-May-2026,,Protest/Riot,Ford,1,Highway 57 blockade (Querétaro–San Luis Potosí),Complaint,Missed Event,Product,Event Identification,Improvement,RCA Shared,Geo-detection enhancement,Yes,RCA shared with customer; source coverage + keyword gap identified. Blockade lasted 27+ hours; impacted suppliers in Santa Rosa Jáuregui.,,Yes,5,,May 2026,Medium,AI-Assisted Geofencing,,Product & Platform
May 2026,20-May-2026,,Merger & Acquisition,NVR,1,SRS Distribution completes acquisition of Mingledorff's,Complaint,Delayed / Missing WarRoom,People,Prioritization,Improvement,Fixed,Mapping validation,Yes,Supplier mapped but WarRoom delayed ~9 days; internal notes mention erosion of trust. RCA requested.,~9 days (May 11 → May 20),Yes,5,216,May 2026,Medium,Entity & Supplier Resolution,,EventWatch Ops - Nitin Rindhe
May 2026,21-May-2026,,Wildfire,Collins Aerospace,1,"Sandy Fire (Simi Valley, CA)",Complaint,Delayed WarRoom,People,Prioritization,Improvement,Clarification Provided,Escalation automation,Yes,Fire started May 18 11am; WarRoom created May 19 9:30am (~22.5 hr delay). Investigation pending.,~22.5 hours,Yes,5,22.5,May 2026,Medium,WarRoom & Decision Validation,,EventWatch Ops - Nitin Rindhe
May 2026,21-May-2026,,Wildfire,Collins Aerospace,1,"Bain Fire (Jurupa Valley/Riverside, CA)",Complaint,Delayed WarRoom,People,Prioritization,Improvement,Clarification Provided,Escalation automation,Yes,Fire started May 19 11am; WarRoom created next day ~8am (~21 hr delay). Investigation pending.,~21 hours,Yes,5,21,May 2026,Medium,WarRoom & Decision Validation,,EventWatch Ops - Nitin Rindhe
May 2026,21-May-2026,,Financial Distress,Eaton,1,Otto Bihler Maschinenfabrik in restructuring,Complaint,Missed Relevant Event,Product,Keyword Update,Improvement,Fixed,Dynamic Source Discovery,Yes,Otto Bihler restructuring relevant but not alerted; irrelevant sector alerts received. Feed ingestion investigation raised.,,Yes,5,,May 2026,Medium,Dynamic Source Discovery,,Product & Platform
May 2026,22-May-2026,,Wildfire,Ford,1,"Supplier Impact Mapping Clarification – Sandy Fire (Simi Valley, California, USA)",Inquiry,Supplier Impact Mapping Clarification,Process,Mapping,Improvement,Clarification Provided,Geofencing validation enhancement,Yes,"Customer questioned why Helium Leak Testing Inc. was mapped as impacted while Meggitt Safety Systems and Pacific Scientific were not mapped. Investigation confirmed no publicly reported evacuations, shutdowns, or operational disruptions for the Royal Ave and Voyager Ave industrial corridors. Helium Leak Testing Inc. remained within the WarRoom because the impact area had previously been expanded based on broader regional effects including wildfire smoke, reduced visibility, and air quality concerns. Geofencing methodology, supplier mapping logic, and future AI-assisted impact polygon improvements were explained to the customer.",~22.5 hours,No,5,22.5,May 2026,Low,AI-Assisted Geofencing,,EventWatch Ops - Nitin Rindhe
Jun 2026,03-Jun-2026,,Bankruptcy,Ford,1,CROMTRYCK s.r.o. Insolvency (Czech Republic),Complaint,Missed Event,Product,Source Coverage,Improvement,Fixed,Dynamic Source Discovery,Yes,Missed insolvency event due to regional insolvency source coverage limitations and restricted/paywalled source visibility. Vendor source expansion requested.,,Yes,6,,Jun 2026,Medium,Dynamic Source Discovery,,Product & Platform
Jun 2026,04-Jun-2026,,Protest/Riot,Ford,1,ANTAC Transport Blockades in Mexico,Complaint,Missed Event,Product,Keyword Update,Improvement,RCA Shared,Dynamic Source Discovery,Yes,RCA completed; keyword gap identified and corrective actions implemented. Spanish-language detection logic did not recognize transportation disruption and protest terminology. Relevant keywords were added.,,Yes,6,,Jun 2026,Medium,Dynamic Source Discovery,,Product & Platform
Jun 2026,05-Jun-2026,EAO-1,Factory Disruption,Eaton,1,Burnstein von Seelen Precision Casting Operational Disruption,Complaint,Missed Event,People,Review,Improvement,RCA Shared,Supplier-aware escalation model + Not Impactful override validation,Yes,RCA shared; analyst classified event as Not Impactful. Event was successfully received and reviewed but incorrectly classified and therefore not escalated.,,Yes,6,,Jun 2026,Medium,WarRoom & Decision Validation,"Articles on the Burnstein von Seelen disruption did reach the portal, but the analyst classified the event Not Impactful and did not escalate it, so it never reached WarRoom consideration. Corrective: analyst coaching on law-enforcement, regulatory and workforce disruptions, plus an internal non-conformance raised against the reporting workflow. Preventive: extra review controls before a Not Impactful call on a monitored supplier, stronger supplier-context visibility during review, expanded audits of analyst overrides, and AI-assisted relevance work with Product/Data Science.",EventWatch Ops - Nitin Rindhe
Jun 2026,10-Jun-2026,CAN-3377,Merger & Acquisition,Ford,1,Credit Suisse / UBS Acquisition Alert Missing from EventWatch News Dashboard (Ford),Complaint,News dashboard visibility gap,Product,Visibility,Improvement,Fixed,Parity checking between Global Search and the EventWatch News Dashboard so a published alert cannot be findable in one and absent from the other,No,"From Jira CAN-3377 (Resolved). The 'Credit Suisse to be Acquired by UBS Group' alert and all 14 of its updates were absent from Ford's EventWatch News Dashboard, and keyword searches there returned No Data Available. The same alert was returned normally by Global Search, so the content existed and only the dashboard view was affected.",,No,6,,Jun 2026,Medium,Notification Visibility Monitoring,,Product & Platform
Jun 2026,15-Jun-2026,EAO-4,Chemical Spill,Eaton,1,"CO₂ Leak at Schaeffler India Plant, Pune",Complaint,Missed Event,Product,Event Identification,Improvement,RCA Shared,Hazardous gas leak detection + mapped supplier escalation model,Yes,RCA document prepared and shared with customer. Customer reported missing EventWatch coverage related to a CO₂ leak involving fatalities at a mapped supplier facility.,,Yes,6,,Jun 2026,Medium,WarRoom & Decision Validation,RCA approved and sent to the customer on 15-Jun-2026 as a PDF attached to EAO-4; the document text is not in the ticket.,Product & Platform
Jun 2026,15-Jun-2026,EAO-8,Supply Shortage,Belden Inc,1,MLCC Supply Chain Alert Related to AI Demand Growth,Inquiry,Coverage Verification Request,Process,Process Clarification,Improvement,Clarification Provided,Forecast vs Event differentiation,No,Article was an investment and market outlook discussing future MLCC demand and did not meet EventWatch reporting thresholds.,,No,6,,Jun 2026,Medium,Other Control Automation,,EventWatch Ops - Nitin Rindhe
